id	value	where	script	output	tol	tier	label	notes
VAR-INV	E_N -1.380000 vs -1.960000; heavier preferred by 0.58	IV-E	experiments/variant_ordering.py	results/variant/constructed.json	1e-6	1	reproduces	(0.1,4,4,0.1) w=8.2 vs (5,0.1,0.1,5) w=10.2
VAR-INV4	same inversion, 2.32 at c=4	IV-E	experiments/variant_ordering.py	results/variant/constructed.json	1e-6	1	reproduces	the abstract's 24 % — CONSTRUCTED, not sampled
VAR-RATE	variant E_N-min disagrees with Dijkstra on 72/427=16.9%; weight excess median 22.3%, max 1091%, 46% >= 24%	IV-E	experiments/variant_rate.py	results/variant/disagreement.json	1e-2	2	reproduces	population enumeration at lambda=0, c=4; the constructed VAR-INV4 24% sits near the median disagreement excess (22.3%). The measurement section IV-E declined to make.
ORD-CONTROL	augmented ordering disagrees with Dijkstra on 0/427 at lambda=0 -- Corollary 1(iii) holds	IV-E	experiments/variant_rate.py	results/variant/disagreement.json	0	2	reproduces	population-scale empirical check of the central ordering theorem: 427 enumerable instances, zero disagreements between the augmented E_N minimum and Dijkstra's least-weight path.
M-VERIFY	16 rows, worst |measured - predicted| exactly zero	V-A	experiments/margin_verify.py	results/margin/verify.tsv	0.0	1	reproduces	A3; L in {3,5,8} + reference at c in {1,4}
M-MICRO	path 2^(L+1), k-matching 4^k; 2048 = 7.6 nats = +0.89 in c	V-A	experiments/margin_verify.py --conventions	results/margin/conventions.json	1e-3	1	reproduces	the microstate ruling
M-VARIANT	Delta=6.489384, alphabar=0.927	V-A	experiments/margin_verify.py --variant	results/margin/variant.json	1e-6	1	reproduces	
CNT-PATH	1,754 paths at matched depth	V-B	experiments/reference_counts.py	results/counts/reference.json	exact	1	reproduces	A4; regenerated exactly by A50, A51, A52
CNT-SCAT	3.352349e19 matched-size scatter configurations	V-B	experiments/reference_counts.py	results/counts/reference.json	exact	1	reproduces	frontier DP
CNT-CROSS	log-ratio 31.25 nats; margin 8.447 at c=1; crossing c=3.699428677298893	V-B	experiments/reference_counts.py	results/counts/reference.json	1e-12	1	reproduces	byte-identical across three regenerations
POP-N	1,080 generated; 1,027 completed; 53 censored (4.9 %)	V-B	experiments/creq_sweep.py	results/creq/population.csv	exact	2	reproduces	A52; censoring is depth-correlated, biased LOW
T-CREQDIST	all 30 cells of tab:creqdist	V-B	experiments/creq_sweep.py	results/creq/by_family.tsv	1e-2	2	reproduces	microstate convention
F-CREQ-A	box-plot: 5 families x 7 order statistics	V-B fig	figures/fig_creq.py	results/creq/quantiles.tsv	1e-2	2	reproduces	
F-CREQ-B	slopes -0.61 / -0.76 / +0.81 / +0.02 with 95 % CIs	V-B fig	figures/fig_creq.py	results/creq/slopes.tsv	1e-3	2	reproduces	OPPOSITE SIGNS — the informative failure
POP-SPAN	span 1.65 to 19.59; pooled IQR 4.47 to 10.32	V-B	experiments/creq_sweep.py	results/creq/by_family.tsv	1e-2	2	reproduces	
POP-SIZE	sparse medians 4.22 5.01 5.88 6.15 6.46 7.77 (N=20..100)	V-B	experiments/creq_sweep.py	results/creq/by_size.tsv	1e-2	2	reproduces	requirement RISES with size
POP-SIZED	dense 4.32 to 6.87 (N=20..80)	V-B	experiments/creq_sweep.py	results/creq/by_size.tsv	1e-2	2	reproduces	
LAW-FIT	a=2.289 [2.250,2.328]; b=11.566 [11.224,11.909]; c0=-42.451; R2=0.966	V-B	experiments/ratio_law.py	results/law/numerator_fit.json	1e-3	1	reproduces	fitted once over 1,027, no per-family term
LAW-PRED	median relative error 8.6 %; R2=0.965	V-B	experiments/ratio_law.py	results/law/per_instance.csv	1e-3	1	reproduces	against each instance's own measured margin
LAW-HOLDOUT	held-out family ratios 1.16 / 0.87 / 0.84 / 1.08	V-B	experiments/ratio_law.py --leave-one-family-out	results/law/holdout.json	1e-2	1	reproduces	genuinely out-of-sample
LAW-DEPTH	L~14: lattice 13.57 vs terrain 4.30, factor 3.2; depth law predicts 4.01	V-B	experiments/ratio_law.py	results/law/depth_transfer.json	1e-2	1	reproduces	
LAW-RHO	rho medians 0.119 / 0.076 / 0.430 / 0.105	V-B	experiments/ratio_law.py	results/law/rho.tsv	1e-3	1	reproduces	the whole family spread lives here
LAW-INTERACT	beta1=1.754 [1.723,1.785] (not 1); beta2=-2.819; intercept=2.799; R2=0.986 (add 0.966); median rel err 4.0% (add 8.6%)	V-B	experiments/ratio_law.py --interaction	results/law/interaction_fit.json	1e-3	1	reproduces	W4 refit, theory form X1=L*ln(|E|e/L), X2=L -- Gary's decision: this IS the stated numerator. beta1 decisively != 1 (a finite-size prefactor, not the O(1)-predicted 1). Robust: B0 beta1=1.865, edge-ratio beta1=1.720. Three-term L*lnL=-1.219 (theory -1). kappa_E/beta1=6.60 ~ pooled median depth 7 (explains why the additive form worked). NOTE: the paper prints beta1 rounded to 1.75 [1.72,1.79] (the CI width justifies 3 s.f.); this row stores 1.754 [1.723,1.785] -- rounding, not a mismatch.
LAW-INTERACT-LOFO	LOFO ratios sparse/dense/grid/mtn_knn = 1.10 / 0.95 / 1.17 / 0.98	V-B	experiments/ratio_law.py --interaction	results/law/interaction_fit.json	1e-2	1	reproduces	interaction form is better at INTERPOLATION but NOT at extrapolation to a withheld family: the worst held-out family (grid) goes 0.84 -> 1.17 (flips sign, does not shrink)
LAW-INTERACT-WT	U[1,2] weight-convention holdout under Model B: median rel err 11.8% (additive 7.5%)	V-B	experiments/ratio_law.py --interaction	results/law/interaction_fit.json	1e-2	1	reproduces	held-out unseen weight convention (119 instances); the interaction numerator extrapolates WORSE than the additive one -- same story as the LOFO ratios
LAW-INTERACT-FAM	per-family beta1: sparse 2.07 / dense 2.21 / grid 0.55 / mtn_knn 2.41; 4 CIs disjoint; pooled R2 0.986 vs piecewise 0.9965	V-B	experiments/ratio_law.py --interaction	results/law/interaction_fit.json	1e-2	1	reproduces	review v6: nominal beta1 varies by family (CIs disjoint) but the split is UNRELIABLE -- within-family X1/X2 collinearity is high (corr 0.90/0.89/0.999/0.992; grid has only 9 distinct |E| since a lattice's edge count is deterministic in size), so beta1/beta2 are poorly separated per family. The pooled fit (spans all depths/families) is the identifiable one; the variation reflects each family's (L,|E|) regime, not a clean topology effect. Depth confound noted (median L 3/3/14/10).
WT-PRED	U[1,2] raises rho 0.119 -> ~0.36; (1-2rho) 0.76 -> ~0.29	V-B	experiments/weight_convention.py	results/weights/prediction.json	1e-2	1	reproduces	PREDICTION made before the measurement
WT-MEAS	119 instances; ratios 1.95 / 1.95 / 1.89; 0 of 119 clear at c=4	V-B	experiments/weight_convention.py	results/weights/measured.csv	1e-2	2	reproduces	### originally analysed off a 103-of-119 half-written CSV; self-found, corrected
WT-ERR	median relative error 7.5 % from the unseen-convention fit	V-B	experiments/weight_convention.py	results/weights/measured.csv	1e-2	1	reproduces	
C4-POOL	13.4 % clear at c=4, microstate convention	V-B, VII-B	experiments/creq_sweep.py	results/creq/c4_verdict.json	1e-3	2	reproduces	THE headline number
C4-FAM	lattice 0 of 360; terrain 35.1 %	V-B, VII-B	experiments/creq_sweep.py	results/creq/c4_verdict.json	1e-3	2	reproduces	
C4-SIZE	sparse N=60: 1 of 40 clears; dense: 0 of 39	V-B, VII-B	experiments/creq_sweep.py	results/creq/c4_verdict.json	exact	2	reproduces	small cells — n stated inline in the paper
C4-CONV	edge-set convention 40.0 %; conventions disagree on 273 of 1,027	V-B, VII-B	experiments/creq_sweep.py --both-conventions	results/creq/convention_gap.json	exact	2	reproduces	A52: every c=4 sentence must name its convention
CNT-BIND	sparse dies past N~140, dense past N~100, at a 6 GB cap	V-C	experiments/counting_limits.py	results/counts/limits.json	—	2	pinned	hardware-dependent; pin the cap, not the boundary
CNT-BITS	top-coefficient ladder 12 20 30 41 53 65 78 90 103 for k=4..12	V-C	experiments/counting_limits.py --bit-ladder	results/counts/bit_ladder.tsv	exact	1	reproduces	96-bit field exact through k=11, fails at k=12
CNT-HEAD	every published instance >= 51 bits below the ceiling	V-C	experiments/creq_sweep.py	results/creq/population.csv	exact	1	reproduces	max_coeff_bits persisted per row — promised in Code availability
CNT-49	49 of 1,080 would have been silently wrong	V-C	experiments/counting_limits.py --legacy-width	results/counts/overflow_audit.json	exact	2	reproduces	A50 defect / A51 fix; error ran toward UNDERSTATING required c
CNT-COST	whole population ~90 core-minutes	V-C	—	results/creq/timing.json	—	—	pinned	hardware-dependent
REF-GIRTH	weighted girth of random_graph(60,0.05,seed=19) = 0.755323 (W_cyc^min)	V-D	verify/check_instance.py	results/instance/reference.json	1e-4	1	reproduces	the reference instance's minimum cycle weight, for bound (35)/(36) in the d=0 sector; >= 3 edge weights (G simple). Factor 406 over the ordering condition's least weight excess 0.00186, so (35) puts the d=0 sector >= 3.04 above the optimum at c=4 (~1/10 of the scatter margin c(L+1)abar=33.79). Pinned in the reference-instance guard.
SW-ENRICH	enrichment 0 / 12 / 80 at c=1,2,3 along lambda=0 (orig-hop baseline; L+2 form 0/198/1008 in CSV)	V-D	experiments/clambda_grid.py --rerun-augmented	results/grid/enrichment.csv	seeded	2	reproduces	augmented at b_S=b_k; conservative orig-hop exponent (S/T driven -> terminal edges near-certain); no improvement vs variant on this metric
SW-EVENTS	0 / 31 / 426 containment events vs chance 3.24 / 2.50 / 5.35 (orig-hop baseline)	V-D	experiments/clambda_grid.py --rerun-augmented	results/grid/enrichment.csv	seeded	2	reproduces	augmented containment events; c=1 is 0 in the whole cell
SW-DESIGN	8 graphs L>=8, N=60, p=0.05, 3 seeds, 10,000 steps, D=4	V-D	experiments/clambda_grid.py	results/grid/config.json	exact	1	reproduces	design is recorded even if the run is not re-executed
SW-VARIANT	variant sweep gave 0.9 / 41 / 330	V-D	experiments/clambda_grid.py --variant	results/grid/variant.csv	seeded	2	pinned	quoted only as contrast; construction numbers are the published ones
MR-NULL	72 units, 143,280,000 steps; shell occupied 2,116 steps (1.5e-5); mass identically zero	V-D	experiments/mass_ratio_pilot.py	results/mass/null.json	exact	2	reproduces	the informative failure; run on the variant
MR-ACT	mean activity 25.0 to 43.5 against 2N=24	V-D	experiments/mass_ratio_pilot.py	results/mass/null.json	1e-1	2	reproduces	the Theta(N) obstruction
DEF-COUNTS	reference N_0=1.2391e11 (microstate-weighted) = #path 898,048 + N'0=1.2391e11; N_{m-1} == scatter_counts micro_aux (all-disjoint)	V-D	experiments/deficit_counts.py	results/counts/deficit.json	exact	2	reproduces	full augmented-space deficit DP, microstate-weighted (2^(#real covered)), aux NOT forced (S,T free to be inactive; the S/T drive is a beta coupling, not a static reward). Exact N_d in Python bigints for d=-1..m-1; validated vs a full-space brute (tiny) and vs scatter_counts' micro_aux (the d=m-1 all-disjoint = matching term). max_states 1.6M, ~5min. Supersedes the earlier both-aux subset (which undercounted by ~2^(L+1)).
DEF-33	(33) argmax at d=1 (18.11) with denominator #path; d=m-1=9 term = 3.699 == the V-B reference crossing, so (29) IS the d=m-1 term	V-D	experiments/deficit_counts.py	results/counts/deficit.json	1e-2	2	reproduces	c > max_{d>=1} ln(N_d/#path)/(d*abar). Denominator is #path (the s-t path microstates the decoder accepts), NOT N_0: the d=0 class is overwhelmingly non-paths (N'0 ~ N_0), so N_0 would divide by a set ~10^5x larger than the accepted answers. With #path the d=m-1 term equals the section V-B crossing (3.699) exactly -- so (29) is genuinely that term -- and the argmax (the binding requirement) is d=1 (18.11). abar=margin/(L+1)=0.9386. Full-space object.
DEF-36	(36) d=0 non-path sector: N'0=1.2391e11 >> #path=898,048 -> bound c > 15.56 (BINDS); signs the direction section V-D left unsigned	V-D	experiments/deficit_counts.py	results/counts/deficit.json	1e-2	2	reproduces	c > (B/2)*ln(N'0/#path)/W_cyc^min with W_cyc^min=0.755323 (conservative denom). Once microstates are counted, N'0 (shorter-s-t-path-plus-cycle) >> #path, so the sector BINDS at c>15.56 -- it constrains c. Corrected full-space result (the earlier both-aux subset mis-signed it as vacuous -1.35).
DEF-DMINUS1	d=-1 disjoint-cycle sector below the path is NON-EMPTY on the reference (N_{-1}=1.040e8 > 0)	V-D	experiments/deficit_counts.py	results/counts/deficit.json	exact	2	reproduces	the deficit grading extends to d=-1 -- pure disjoint-cycle configurations (no degree-1 vertices, |alpha|=m > L+1) strictly BELOW the shortest path in the matched-activity energy landscape. Non-empty means the energy function alone does not put the path at the bottom of the matched-activity space; the drive removes this sector dynamically (it acts on beta, never appearing in the static energy). Prevalence + energy gap: CYC-PREV / CYC-RHO.
CYC-PREV	d=-1 cheaper-cycle prevalence (144 subsample): present 96/absent 25/undetermined 23; per family present sparse 100%/dense 100%/grid 0%/mtn_knn 67%	V-D	experiments/cycle_prevalence.py	results/counts/cycle_prevalence.json	0	2	reproduces	two-sided rigorous certificates: ABSENT = sum(m lightest edges) >= w_max+W* (no m-edge set beats it); PRESENT = a heuristic exhibits a disjoint-cycle set on exactly m edges below w_max+W*; UNDETERMINED = neither (a heuristic miss is NOT proof of absence, never imputed). The cheaper-cycle sector is typical on random/terrain weights, absent on the lattice. Reference sanity: present, W_cyc=1.2239, gap@c4=-1.281.
CYC-RHO	rho-law: absence-cert == (gamma>=[L+1/(2rho)]/(L+2)), identity on 144; threshold=1 iff rho=1/4 (L-indep); gamma<=1 on all 144; confusion perfect (25/25)	V-D	experiments/cycle_prevalence.py	results/counts/cycle_prevalence.json	0	2	reproduces	the d=-1 absence certificate rewritten via rho=mu/2w_max and gamma=mean(m lightest)/mu is an algebraic identity; the threshold crosses 1 exactly at rho=1/4 for ANY L. So rho<1/4 -> the cheaper-cycle sector is UNAVOIDABLE (absence needs gamma>1, impossible), rho>=1/4 -> possible (only the near-uniform lattice fires). The fourth design coupling: the same rho that buys absence drives the discrimination margin (1-2rho)L+1 to its floor. gamma<=1 is MEASURED on this 144-instance population, NOT a theorem -- an optimum drawn entirely from the graph's lightest edges would violate it.
CYC-ENERGY	compiled path E_N=6.210 vs lightest-10-cycle E_N=4.929 at c=4 (gap -1.281); path E_N == analytic c(1+2*Etilde) (built-in cross-check)	V-D	experiments/cycle_prevalence.py	results/counts/cycle_prevalence.json	1e-2	2	reproduces	the two absolute energy anchors showing the shortest path is NOT the matched-activity minimum: at the operating point (c=4, lambda=0, b_st=b_k) the compiled network gives path E_N=6.2101 -- equal to the analytic c(1+2*Etilde) (Prop 2 at b_S=b_k), a built-in check that the V-E operating point matches III-A -- and the lightest disjoint 10-cycle E_N=4.9293, a gap of -1.281 below the path. Cycle state = each cycle vertex's two edges in opposite WTA slots. Asserted in-run.
CYC-ABSPOP	population-wide absence certificate (all 1,080 creq instances): 198 provably-absent (18.3%), ALL grid (grid 198/360=55%, sparse/dense/mtn_knn 0%); subsample presence rate in [67%, 83%]	V-D	experiments/cycle_prevalence.py	results/counts/cycle_prevalence.json	0	2	reproduces	the cheaper-cycle sector is provably absent only in the near-uniform lattice family, and only there (grid 55%); it is never provably absent on sparse/dense/mtn_knn -- exactly the rho>=1/4 prediction (only the lattice reaches the absence regime). Certificate = sum(m lightest edges) >= w_max+W* (one-directional, no search), so it runs on the full population; presence needs the bounded search and stays on the stratified 144 subsample (3 sizes/family x seeds 1..12). Subsample present 96/absent 25/undetermined 23 -> presence rate bounded in [67%, 83%] (undetermined never imputed).
OE-VALID	max per-neuron discrepancy 1.99e-7 in float32, unchanged after scaling by c	VI-C	verify/check_a.py	results/validate/decomposition.json	1e-9	1	reproduces	validate.py check A; A38 re-measured 1.994e-07
T-SCALE	all 25 cells of tab:scale	VI-C	experiments/bench_scaling.py	results/bench/scaling.tsv	—	2	pinned	### NO repetitions, oversubscribed harness — disclaimed in the paper as not a benchmark
B-FLOOR-UNREACH	321/1027 = 31.3% of instances have floor>=4 (unreachable at c=4 for any B); per family 65/72/0/17%	VII-B	experiments/b_floors.py	results/creq/b_floors.json	1e-2	1	reproduces	floor_i=num/(L+1)=c_req as B->inf; margin is bounded by (L+1) so no admissible B pushes c_req below the floor. The population version of the section VII-B B-floor statement (was four family medians).
B-FLOOR-FAM	per-family median floor: sparse 4.58 / dense 4.68 / grid 2.70 / mtn_knn 3.46	VII-B	experiments/b_floors.py	results/creq/b_floors.json	1e-2	1	reproduces	exact per-instance floor medians; refine the median-scaled W2 estimates (4.70/4.74/2.68/3.46). Median B/w_max to reach c=4 where reachable: sparse 3.65/dense 6.57/grid 4.92/mtn 2.29; overall unreachable 31.3%.
